id_lote;fecha_produccion;producto_id;presentacion_id;turno_id;timestamp_control_calidad;viscosidad_ku;ph;unidades_planificadas;unidades_producidas;costo_materia_prima_usd
LOT00001;22/8/2024;PRD021;PRE01;T1;22/8/2024 10:48;100.9;7.33;600;588;3461.89
LOT00002;20/11/2024;PRD015;PRE04;T3;21/11/2024 01:36;77.6;7.07;80;79;9472.52
LOT00003;5/8/2024;PRD013;PRE02;T3;6/8/2024 01:24;99.6;7.78; 100 ;96;2171.97
LOT00004;22/2/2025;PRD022;PRE02;T3;23/2/2025 02:48;106.6;7.49;100;96;2055.76
LOT00005;26/5/2025;PRD019;PRE04;T3;27/5/2025 01:24;53.5;7.12;120;115;10250.53
LOT00006;20/9/2024;PRD005;PRE03;T1;20/9/2024 08:51;85.7;8.49;120;115;6367.06
LOT00007;19/9/2024;PRD029;PRE04;T1;19/9/2024 08:12;99.2;7.64;120;119;19333.87
LOT00008;3/5/2025;prd005;PRE02;T3;4/5/2025 03:51;66.5;9.93;200;114;2508.87
LOT00009;8/4/2025;PRD027;PRE02;T1;8/4/2025 10:13;96.2;7.13;150;149;4469.6
LOT00010;24/10/2024;PRD022;PRE03;T2;24/10/2024 18:04;117.6;7.35;60;57;5624.47
LOT00011;3/4/2025;PRD011;PRE01;T3;4/4/2025 04:47;94.9;8.71;500;479;873.42
 LOT00012 ;5/11/2024;PRD024; PRE01 ;T2;5/11/2024 17:36;113.5;7.63;400;389;2450.77
LOT00013;30/10/2024;PRD004;PRE01;T1;30/10/2024 11:24;75.6;9.56;300;184;1094.32
LOT00014;30/7/2024;PRD014;PRE05;T1;30/07/2024 09:53;76.3;7.22;30;28;38007.02
LOT00015;1/5/2025;PRD022;PRE04;T3;2/5/2025 00:17;119.7;7.85;80;79;9032.18
LOT00016;15/5/2025;PRD022;PRE03;T1;15/5/2025 08:21;106.4;7.4;80;79;7746.15
LOT00017;5/6/2025;PRD023;PRE02;T3;6/6/2025 00:34;103.5;7.16;300;287;6507.01
LOT00018;19/11/2024;PRD028;PRE03;T1;19/11/2024 07:32;93.1;7.46;80;76;8895.3
LOT00019;25/4/2025;PRD029;PRE05;T1;25/4/2025 11:13;71.3;7.05;10;9;14130.23
LOT00020;28/1/2025;PRD029;PRE05;T1;28/1/2025 09:02;109.4;8.01;15;8;23793.19
LOT00021;25/10/2024;prd008;PRE02;T2;25/10/2024 15:49;98.0;8.42;100;99;722.6
LOT00022;13/11/2024;PRD018;PRE02; T2 ;13/11/2024 16:32;58.6;7.18;250;245;3978.07
LOT00023;9/6/2025;PRD023;PRE02;T3;10/6/2025 02:58;102.1;8.0;200;196;4684.23
LOT00024;1/2/2025;PRD022;PRE02;T3;2/2/2025 01:43;112.2;8.25;200;192;4472.39
LOT00025;13/8/2024;PRD015;PRE05;T3;14/8/2024 04:24;77.3;7.93;15;14;16441.75
LOT00026;21/4/2025;PRD016;PRE04;T2;21/4/2025 19:12;57.7;8.09;40;29;4379.08
LOT00027;7/6/2025; PRD018 ;PRE02;T1;7/6/2025 11:58;60.7;7.36;250;248;4162.41
LOT00028;11/2/2025;PRD021;PRE02;T3;12/2/2025 01:51;108.2;7.48;300;286;6328.85
LOT00029;1/2/2025;PRD014;PRE04;T2;1/2/2025 20:55;96.4;7.65;100;97;12627.16
LOT00030;6/3/2025;PRD027;PRE04;T2;6/3/2025 18:50;90.1;7.7;60;59;9755.17
LOT00031;22/2/2025;PRD019;PRE03;T3;23/02/2025 00:06;59.5;6.32;80;77;5422.68
LOT00032;27/12/2024;PRD027;PRE02;T1;27/12/2024 08:02;107.4;6.5;100;82;2686.75
LOT00033;28/8/2024;PRD015;PRE05;T3;29/8/2024 02:10;89.5;7.89;30;29;37988.88
LOT00034;16/6/2025;PRD023;PRE04;T3;17/6/2025 04:01;110.4;7.64;80;76;9883.28
LOT00035;25/3/2025;PRD014;PRE05;T2;25/3/2025 20:45;86.6;7.74;30;28;37247.92
LOT00036;14/12/2024;PRD008;PRE04;T2;14/12/2024 19:47;97.1;8.39;80;79;3328.76
LOT00037;19/6/2025;PRD003;PRE02;T3;20/6/2025 04:34;91.9;7.14;150;145;1882.62
LOT00038;16/11/2024;PRD012;PRE04;T2;16/11/2024 18:02;78.0;6.79; 40 ;39;5058.41
LOT00039;29/11/2024;PRD009;PRE03;T1;29/11/2024 10:40;96.0;9.06;60;57;1970.75
LOT00040;3/3/2025;PRD028;PRE05;T3;4/3/2025 03:00;99.0;6.88;25;23;34240.08
LOT00041;30/8/2024;PRD005;PRE01;T1;30/8/2024 10:23;82.0;7.24;600;538;1917.35
LOT00042;31/10/2024;PRD025;PRE03;T3;1/11/2024 04:11;74.7;7.11;120;116;12238.13
LOT00043;24/10/2024;PRD003;PRE03;T2;24/10/2024 17:50;81.1;7.25;80;78;4472.36
LOT00044;3/5/2025;PRD010;PRE03;T3;4/5/2025 03:11;102.1;8.04;60;59;1920.95
LOT00045;30/5/2025;PRD022;PRE04;T1;30/5/2025 10:28;129.9;7.65;100;99;11928.02
LOT00046;8/4/2025;PRD006;PRE02;T3;9/4/2025 03:07;85.6;9.93;250;218;2012.82
LOT00047;27/7/2024;PRD002;PRE02;T3;28/07/2024 02:16;82.0;7.43;250;239;3620.49
LOT00048;28/8/2024;PRD018;PRE01;T1;28/8/2024 09:04;49.9;6.77;400;313;1590.41
LOT00049;29/1/2025;PRD007;PRE05;T1;29/1/2025 12:16;106.4;8.42;20;19;8127.88
LOT00050;12/12/2024;PRD016;PRE04;T2;12/12/2024 17:51;80.8;7.66;40;38;4614.92
LOT00051;29/4/2025;PRD026; PRE05 ;T1;29/4/2025 08:59;73.0;7.87;10;9;14729.94
LOT00052;31/3/2025;PRD009;PRE02;T2;31/3/2025 19:08;112.6;6.81;200;159;1586.62
LOT00053;29/7/2024;prd028;PRE03;T1;29/7/2024 11:06;82.9;6.87;100;97;11908.17
LOT00054;08/11/2024;PRD020;PRE03;T1;8/11/2024 10:05;72.5;6.7;80;78;4695.24
LOT00055;13/1/2025;PRD021;PRE05;T2;13/1/2025 17:04;111.4;7.54;20;19;23017.11
LOT00056;26/10/2024;PRD019;PRE04;T2;26/10/2024 17:44; 65.5 ;7.02;60;58;5446.63
LOT00057;29/1/2025;PRD019;PRE02;T2;29/1/2025 17:15;69.7;7.31;200;195;3437.78
LOT00058;8/8/2024;PRD016;PRE05;T1;8/8/2024 09:45;99.2;7.71;20;19;22710.83
LOT00059;11/6/2025;PRD024;PRE03;T3;12/6/2025 03:27;137.4;7.32;120;89;9856.55
